source,target,value,type
sR_1,R_0,4432,a
sR_1,R_1,139011,a
sR_1,R_2,12842,a
sR_1,R_3,795,a
sR_1,R_4,32381,a
sR_1,R_5,40641,a
sR_1,R_6,60791,a
sR_1,R_88,315,a
sR_1,R_99,2627,a
sR_2,R_0,,b
sR_2,R_1,6,b
sR_2,R_2,40,b
sR_2,R_3,,b
sR_2,R_4,2,b
sR_2,R_5,1,b
sR_2,R_6,,b
sR_2,R_88,,b
sR_2,R_99,,b
sR_3,R_0,,c
sR_3,R_1,362,c
sR_3,R_2,67,c
sR_3,R_3,14,c
sR_3,R_4,32,c
sR_3,R_5,58,c
sR_3,R_6,17,c
sR_3,R_88,,c
sR_3,R_99,,c
sR_4,R_0,7054,d
sR_4,R_1,168033,d
sR_4,R_2,28668,d
sR_4,R_3,1339,d
sR_4,R_4,79842,d
sR_4,R_5,57551,d
sR_4,R_6,85532,d
sR_4,R_88,403,d
sR_4,R_99,3999,d
sR_5,R_0,233,e
sR_5,R_1,4043,e
sR_5,R_2,688,e
sR_5,R_3,14,e
sR_5,R_4,474,e
sR_5,R_5,3415,e
sR_5,R_6,1371,e
sR_5,R_88,21,e
sR_5,R_99,45,e
sR_6,R_0,7349,f
sR_6,R_1,14772,f
sR_6,R_2,2361,f
sR_6,R_3,98,f
sR_6,R_4,4697,f
sR_6,R_5,4197,f
sR_6,R_6,16614,f
sR_6,R_88,148,f
sR_6,R_99,1298,f
sR_99,R_0,1169,i
sR_99,R_1,58,i
sR_99,R_2,17,i
sR_99,R_3,1,i
sR_99,R_4,40,i
sR_99,R_5,70,i
sR_99,R_6,517,i
sR_99,R_88,28,i
sR_99,R_99,538,i
sR_88,R_0,,j
sR_88,R_1,2,j
sR_88,R_2,,j
sR_88,R_3,,j
sR_88,R_4,,j
sR_88,R_5,,j
sR_88,R_6,,j
sR_88,R_88,694,j
sR_88,R_99,,j
sR_0,R_0,18793,k
sR_0,R_1,,k
sR_0,R_2,,k
sR_0,R_3,,k
sR_0,R_4,,k
sR_0,R_5,1,k
sR_0,R_6,2,k
sR_0,R_88,,k
sR_0,R_99,4,k
